"Наименование факультета","","Наименование направления подготовки","Наименование направленности (профиля)","Форма обучения","Основа  обучения (бюджет)","КЦП бюджет","Проходной 
балл 2020","в т.ч.особое право","Основа обучения (внебюджет)","КЦП внебюджет","Вступительное испытание 1","Вступительное испытание 2_1","Вступительное испытание 2_2","Вступительное испытание3"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Организация работы с молодежью","Управление молодежными проектами","очная форма","Бюджет","20","208","2","Внебюджет","10","История","Обществознание","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Организация работы с молодежью","Управление молодежными проектами","заочная форма","Бюджет","15","215","2","Внебюджет","5","История","Обществознание","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Политология","Политический менеджмент","очная форма","Бюджет","22","227","3","Внебюджет","15","История","Обществознание","","Русский"
"Социально-политических наук","https://www.demidpriem.org/факультет-спн","Публичная политика и социальные науки","Управление публичной политикой","очная форма","Бюджет","14","234","2","Внебюджет","10","История","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Экономика","Финансовый и управленческий учет, анализ,аудит","очная форма","Бюджет","9","262","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Экономика","Финансовый и управленческий учет, анализ,аудит","очно-заочная форма","Бюджет","0","","0","Внебюджет","10","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Экономика","Мировая экономика и международный бизнес","очная форма","Бюджет","9","262","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Экономика","Финансы и кредит","очная форма","Бюджет","9","253","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Экономика","Финансы и кредит","очно-заочная форма","Бюджет","0","","0","Внебюджет","10","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Менеджмент ","Управление проектами","очная форма","Бюджет","9","258","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Менеджмент ","Менеджмент в инновационном и социальном предпринимательстве","очная форма","Бюджет","7","","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Государственное и муниципальное управление","Государственные и муниципальные финансы","очная форма","Бюджет","9","248","1","Внебюджет","12","Математика","Обществознание","","Русский"
"Экономический","https://www.demidpriem.org/экономический-факультет","Государственное и муниципальное управление","Государственные и муниципальные финансы","очно-заочная форма","Бюджет","0","","0","Внебюджет","10","Математика","Обществознание","","Русский"
"Юридический","https://www.demidpriem.org/юридический-факультет","Юриспруденция","Юриспруденция","очная форма","Бюджет","27","267","3","Внебюджет","140","Обществознание","История","","Русский"
"Юридический","https://www.demidpriem.org/юридический-факультет","Юриспруденция","Юриспруденция","очно-заочная форма","Бюджет","30","227","3","Внебюджет","40","Обществознание","История","","Русский"
